Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,174.529999,177.619995,173.820007,177.500000,175.097214,5235800
2022-04-29,177.410004,177.410004,171.410004,171.710007,169.385605,6505600
2022-05-02,173.000000,173.460007,165.270004,167.759995,165.489059,7692100
2022-05-03,169.139999,169.309998,166.580002,167.990005,165.715958,5564900
2022-05-04,167.610001,174.119995,167.610001,173.860001,171.506500,6231500
2022-05-05,173.100006,173.320007,169.080002,170.389999,168.083466,6534300
2022-05-06,169.240005,170.800003,168.720001,170.410004,168.103210,5824600
2022-05-09,169.660004,172.889999,168.759995,171.699997,169.375732,7269100
2022-05-10,173.119995,174.539993,170.750000,171.490005,169.168579,5936700
2022-05-11,170.820007,172.410004,169.919998,170.660004,168.349823,5376900
2022-05-12,171.250000,171.990005,168.160004,170.399994,168.093323,6473500
2022-05-13,170.699997,174.160004,169.460007,173.720001,171.368378,4714600
2022-05-16,173.710007,176.300003,173.419998,175.470001,173.094696,5317200
2022-05-17,175.309998,175.679993,172.580002,174.460007,172.098373,5012200
2022-05-18,173.690002,173.869995,162.919998,163.649994,161.434708,8875400
2022-05-19,162.500000,162.779999,159.669998,161.199997,159.017868,6423800
2022-05-20,162.240005,163.059998,159.619995,162.210007,160.014206,5768800
2022-05-23,164.210007,166.949997,163.570007,165.600006,163.358307,4657800
2022-05-24,166.020004,168.259995,165.160004,167.820007,165.548264,6327600
2022-05-25,167.850006,169.490005,166.960007,168.970001,166.682693,5781000
2022-05-26,168.960007,171.089996,168.960007,170.110001,167.807266,5193800
2022-05-27,171.259995,171.809998,170.199997,171.770004,169.444794,6713500
2022-05-31,170.979996,170.979996,165.369995,167.750000,165.479202,13610000
2022-06-01,168.179993,168.380005,163.820007,166.490005,164.236267,5613900
2022-06-02,165.619995,166.750000,162.649994,166.679993,165.567307,4677300
2022-06-03,165.860001,166.589996,164.360001,164.850006,163.749542,4222000
2022-06-06,166.460007,167.619995,164.729996,165.539993,164.434921,3447800
2022-06-07,165.679993,166.860001,164.220001,166.559998,165.448120,4168300
2022-06-08,165.740005,166.809998,165.110001,165.729996,164.623657,2646800
2022-06-09,165.190002,166.929993,162.669998,162.779999,161.693359,3522900
2022-06-10,160.970001,163.919998,159.449997,162.520004,161.435089,5203300
2022-06-13,160.529999,162.869995,159.059998,159.740005,158.673660,6300700
2022-06-14,160.000000,160.050003,154.860001,156.119995,155.077805,6159200
2022-06-15,157.919998,159.839996,155.929993,157.789993,156.736664,5940100
2022-06-16,156.630005,158.460007,155.110001,157.029999,155.981735,7207900
2022-06-17,157.029999,158.990005,156.169998,157.059998,156.011536,9881800
2022-06-21,158.169998,160.960007,157.350006,160.710007,159.637177,4449600
2022-06-22,160.330002,162.990005,159.559998,162.029999,160.948364,4706500
2022-06-23,163.779999,165.139999,163.149994,164.100006,163.004547,5810700
2022-06-24,165.639999,166.190002,163.940002,166.130005,165.020996,5951500
2022-06-27,165.869995,167.130005,165.339996,166.350006,165.239532,4595800
2022-06-28,167.149994,168.449997,163.850006,164.009995,162.915146,4372900
2022-06-29,166.059998,167.559998,165.350006,166.729996,165.616989,3653600
2022-06-30,167.130005,167.580002,165.630005,166.660004,165.547455,6295100
2022-07-01,166.740005,169.520004,165.759995,169.389999,168.259232,3918700
2022-07-05,168.630005,169.389999,165.330002,169.009995,167.881760,4971600
2022-07-06,170.000000,171.949997,169.479996,170.699997,169.560486,4209100
2022-07-07,169.520004,171.039993,169.380005,170.360001,169.222748,5150200
2022-07-08,170.570007,172.699997,170.550003,171.880005,170.732620,3482900
2022-07-11,171.410004,172.800003,170.020004,170.470001,169.332016,4921300
2022-07-12,173.000000,173.320007,168.869995,169.500000,168.368500,5201600
2022-07-13,168.539993,171.440002,167.979996,170.100006,168.964493,4533100
2022-07-14,168.289993,171.160004,167.699997,170.979996,169.838608,4218300
2022-07-15,171.339996,172.919998,170.020004,171.119995,169.977676,4659100
2022-07-18,171.149994,171.240005,167.850006,168.259995,167.136765,3479700
2022-07-19,170.250000,170.750000,168.630005,170.059998,168.924759,4201600
2022-07-20,170.050003,170.570007,167.460007,168.259995,167.136765,3460700
2022-07-21,167.990005,169.410004,167.559998,168.509995,167.385101,3088300
2022-07-22,169.139999,170.570007,168.490005,169.610001,168.477768,3757800
2022-07-25,170.309998,170.860001,169.039993,169.850006,168.716171,3357200
2022-07-26,170.570007,171.990005,169.240005,171.830002,170.682938,3732100
2022-07-27,170.490005,171.949997,169.059998,171.589996,170.444534,4479000
2022-07-28,171.869995,175.119995,171.190002,174.839996,173.672852,3134200
2022-07-29,173.660004,175.479996,173.389999,174.960007,173.792053,4215500
2022-08-01,174.550003,177.690002,174.550003,176.949997,175.768753,4034600
2022-08-02,176.940002,177.149994,175.220001,175.490005,174.318512,3781100
2022-08-03,175.080002,177.059998,174.240005,176.830002,175.649567,4401300
2022-08-04,176.419998,176.740005,174.580002,175.869995,174.695969,3822500
2022-08-05,174.389999,174.699997,172.399994,174.550003,173.384781,3295600
2022-08-08,175.789993,175.970001,173.320007,173.850006,172.689468,2846100
2022-08-09,174.789993,175.229996,173.960007,174.500000,173.335114,3228800
2022-08-10,175.809998,176.429993,174.720001,175.940002,174.765503,4041100
